ID,이름,성별,birthYear,birthDate,연락처,user,알림,위치,UID,가입일,업데이트일,회원탈퇴일,최근접속일,닉네임,프로필사진,프로필썸네일사진,이메일,연령대
83402396,박준,남,1962,128,010-9166-2352,FALSE,FALSE,"(37.5047072, 127.0485641)",HVJ5OUJC-UNQJ-1GGV-5RWL-BEOCJPKD4AZG,2020-07-29,2020-02-21,2019-04-19,2020-04-12,Null,Null,Null,swsjwuz4842@gmail.com,30~39
16363338,송수신,여,1990,1229,010-6083-3989,TRUE,TRUE,"(37.5047072, 127.0485641)",LH2MBQQY-NWR7-UBMY-LWFN-HOEZSJ6D8MU0,2018-03-10,2019-02-20,Null,Null,Null,Null,Null,ntolkci9292@gmail.com,30~39
8800158,오혜제,남,1987,412,010-4642-7547,FALSE,TRUE,"(37.5047072, 127.0485641)",JBAP6AGD-VB40-272A-IA4G-WUWT17IUT5JB,2017-01-10,2020-08-16,2020-04-12,2019-08-28,Null,Null,Null,sejmiru5719@gmail.com,30~39
59713022,김갑수,여,1981,518,010-9814-6879,FALSE,TRUE,"(37.5047072, 127.0485641)",8Y4AZ7PX-ALHS-QWNX-VQ6V-1AJZEQS5TKMY,2017-11-10,2019-02-29,Null,Null,Null,Null,Null,fwkxjkr2570@gmail.com,70~79
68130131,기정신,여,1956,123,010-7849-9811,TRUE,FALSE,"(37.5047072, 127.0485641)",F939Z3TI-UO55-XUHU-8JVJ-MAAV8SLAM22G,2017-10-31,2018-05-15,2019-03-17,2020-03-17,Null,Null,Null,ndontfz9839@gmail.com,80~89
27123633,최철돌,여,1981,517,010-5459-8599,TRUE,TRUE,"(37.5047072, 127.0485641)",A70J2I46-8FQC-N6FP-GYQW-PL0024QQ2TAL,2019-06-20,2019-09-20,2019-07-25,2020-11-12,Null,Null,Null,mhkhofu2062@gmail.com,15~19
69598358,신혜수,남,1992,620,010-6008-0566,TRUE,FALSE,"(37.5047072, 127.0485641)",RI6DYWDX-3LRQ-5SAD-EI6B-SVNXH5NT2KYJ,2017-01-26,2019-12-13,2019-06-13,2019-09-17,Null,Null,Null,jrgiaug3729@gmail.com,30~39
58320701,최수지,여,1989,311,010-0257-7506,FALSE,FALSE,"(37.5047072, 127.0485641)",DICS2Q8B-0E6S-ZXRQ-TCFT-0UE5W2O7T8RR,2018-07-25,2020-09-19,Null,Null,Null,Null,Null,saaqqog8600@gmail.com,40~49
1815967,최병철,여,1975,614,010-6578-9616,TRUE,FALSE,"(37.5047072, 127.0485641)",C48ZS1P5-8B3G-8AJJ-9DZX-B8IWZ9DCN36M,2020-12-31,2020-08-21,Null,Null,Null,Null,Null,uilwcwg7210@gmail.com,15~19
4225617,홍태희,여,1956,1219,010-6180-2829,FALSE,TRUE,"(37.5047072, 127.0485641)",MPZMCDMO-GHQX-ZJIG-3TVS-9D6B3U1MLEJH,2020-06-27,2019-02-31,Null,Null,Null,Null,Null,fxhesuh8918@gmail.com,30~39
98217997,권연,남,1979,827,010-1104-3488,TRUE,TRUE,"(37.5047072, 127.0485641)",4T9PTDKF-BCU0-HW3R-UKVS-JUTC4E0AZ52M,2017-08-16,2020-07-13,2019-05-24,2019-12-25,Null,Null,Null,ijrhmbc2411@gmail.com,80~89
53643989,류상희,남,1963,929,010-8581-2616,TRUE,TRUE,"(37.5047072, 127.0485641)",AADEMAUP-DP9G-2YVW-EWLI-ZXH5I9T3PT4G,2017-09-10,2020-12-16,2020-06-21,2020-06-20,Null,Null,Null,pohkyyt8331@gmail.com,10~14
95383424,유정제,여,1979,1218,010-0730-8468,FALSE,FALSE,"(37.5047072, 127.0485641)",P0ZSCEVR-C0VA-0O7Z-HV4S-HRV9VMKTGVIA,2018-05-23,2018-04-19,2020-03-19,2019-01-26,Null,Null,Null,omdphct4419@gmail.com,15~19
55962693,권철신,남,1996,230,010-1828-0752,TRUE,FALSE,"(37.5047072, 127.0485641)",8KQA5NCU-7NTX-OOQP-L1OT-JJJLQIB3ZYKQ,2020-08-30,2018-07-11,2020-01-16,2019-04-30,Null,Null,Null,vheumyc8836@gmail.com,1~9
1851763,박수철,남,1988,316,010-5290-6378,FALSE,FALSE,"(37.5047072, 127.0485641)",F1X47VJ5-UNV4-WBCZ-YP66-ZY15AHY2CQ95,2020-12-30,2020-02-10,2019-07-28,2020-04-18,Null,Null,Null,wwieboq4966@gmail.com,80~89
30522865,유상준,여,1951,110,010-7251-3827,TRUE,TRUE,"(37.5047072, 127.0485641)",AI1RUEJZ-HTTV-7BN5-G808-25TW2KNYST3A,2017-02-21,2020-10-17,2019-09-26,2019-03-17,Null,Null,Null,clbblin5902@gmail.com,10~14
26420237,신상빈,여,1971,519,010-2504-2601,FALSE,FALSE,"(37.5047072, 127.0485641)",2GLOMUTP-WS8S-0OH2-7NPR-ACVFKW0E1NAR,2017-04-26,2019-01-10,Null,Null,Null,Null,Null,aypkzpa4873@gmail.com,30~39
98217382,신지철,남,1979,1110,010-4860-4899,TRUE,TRUE,"(37.5047072, 127.0485641)",JQYXBMMX-H357-28H0-VFQO-F75HG03AFTQM,2018-07-11,2019-04-30,Null,Null,Null,Null,Null,wzubimz2152@gmail.com,15~19
81723145,신상빈,여,1960,424,010-3059-4013,FALSE,TRUE,"(37.5047072, 127.0485641)",AKWVTP2L-OZJF-SS4Y-F2OS-0F63J5I7J82A,2019-03-28,2020-04-23,Null,Null,Null,Null,Null,vxbxbif8904@gmail.com,80~89
74530398,마철준,여,1997,617,010-3767-8400,TRUE,TRUE,"(37.5047072, 127.0485641)",ULE6FQ40-WDL2-Z6S0-IYH3-UJVTFZMUKABH,2020-07-23,2020-09-12,Null,Null,Null,Null,Null,lthqpld7464@gmail.com,15~19
12632964,송지제,여,1980,716,010-2853-5880,FALSE,TRUE,"(37.5047072, 127.0485641)",I0FAKJ90-J3RP-B4I5-BMR8-COETGLMNDRP8,2017-11-16,2018-09-31,Null,Null,Null,Null,Null,oxvizqq0195@gmail.com,70~79
51867356,신수연,여,1954,1216,010-0866-2715,FALSE,TRUE,"(37.5047072, 127.0485641)",EOZ4P7NR-6MAT-UTM0-PI5F-WAHW21IW7R29,2020-09-24,2019-06-13,Null,Null,Null,Null,Null,znsbjys3615@gmail.com,1~9
37631863,김철준,남,1965,1115,010-4202-7093,FALSE,FALSE,"(37.5047072, 127.0485641)",UOPF3KMU-T22B-6V9G-XLIQ-KX66HCQK0QW4,2017-02-24,2020-07-19,Null,Null,Null,Null,Null,wmovshh5688@gmail.com,20~29
63615149,류혜돌,여,1993,715,010-9064-7807,FALSE,FALSE,"(37.5047072, 127.0485641)",F9S2GCF1-KEO0-W18N-ZYSH-9UGQUWYNI27N,2017-07-16,2018-07-24,2019-08-27,2020-12-10,Null,Null,Null,xhtyrfh6257@gmail.com,10~14
68062720,김갑신,남,1991,531,010-4642-7392,FALSE,TRUE,"(37.5047072, 127.0485641)",MN4LSB9S-88V3-M3WK-ZXWZ-XUMDNBU2M7QR,2018-06-30,2018-08-16,Null,Null,Null,Null,Null,yhbjbur5247@gmail.com,70~79
74879812,이상신,여,1968,123,010-3189-8945,TRUE,FALSE,"(37.5047072, 127.0485641)",LNXV11B6-EXHF-I9AK-IBE0-J0NHPNBDEZQ5,2018-01-29,2018-10-25,2020-11-21,2019-12-21,Null,Null,Null,utggldd1944@gmail.com,80~89
10600878,최태신,여,1989,122,010-9859-5255,FALSE,TRUE,"(37.5047072, 127.0485641)",MZ8YN49D-ZGPD-QB4O-7JAF-15INPP0HEJVK,2020-05-29,2020-10-19,Null,Null,Null,Null,Null,bjdgvoi0133@gmail.com,50~59
22214428,권철연,남,1967,916,010-5890-6564,FALSE,FALSE,"(37.5047072, 127.0485641)",VEDK14M8-SJPL-M1ML-8RSM-ZSWCWIMSFPKE,2018-07-23,2020-02-15,Null,Null,Null,Null,Null,xqdtchn3750@gmail.com,30~39
59706893,권상빈,남,1989,210,010-0266-7090,FALSE,TRUE,"(37.5047072, 127.0485641)",J0ECQ907-6W19-XFJ3-9LE1-U5M7VDBT9656,2017-02-31,2020-06-23,Null,Null,Null,Null,Null,wlxctkd2345@gmail.com,70~79
30157862,박혜연,남,1950,525,010-8338-2867,TRUE,FALSE,"(37.5047072, 127.0485641)",OSP0M4CD-51F0-SZ6V-M0SV-4LP7U732QH3O,2017-11-14,2019-02-14,2019-12-15,2019-05-19,Null,Null,Null,ybycodl0103@gmail.com,90~
72017650,홍호,남,1965,1118,010-6546-5357,TRUE,TRUE,"(37.5047072, 127.0485641)",PB5SSC71-I69S-5F6M-BJX0-9LN7JJEYB6TF,2019-03-23,2018-08-28,2020-12-31,2019-10-25,Null,Null,Null,mwldnmm1003@gmail.com,60~69
46467231,오병호,여,1956,1112,010-6679-5641,FALSE,FALSE,"(37.5047072, 127.0485641)",S3BW56CN-N2O7-ROS0-CNAR-6VT3EPHSJYYG,2020-04-26,2020-10-13,Null,Null,Null,Null,Null,wrzuhmb5666@gmail.com,1~9
42482566,최상준,여,1998,1226,010-6317-9987,TRUE,FALSE,"(37.5047072, 127.0485641)",G8OEMB83-MEUE-PDCQ-YH62-SHMTXXPZR216,2020-05-29,2020-12-29,Null,Null,Null,Null,Null,vfovdyj0738@gmail.com,80~89
77374823,류철신,여,1959,616,010-9635-6341,FALSE,FALSE,"(37.5047072, 127.0485641)",J2OZYABF-02M3-VCNW-QTQU-4S9B9QC3CIQ3,2019-08-25,2019-02-17,2020-01-23,2019-11-19,Null,Null,Null,bwgqqfn2144@gmail.com,60~69
71967229,신도철,남,1963,615,010-9544-0370,FALSE,FALSE,"(37.5047072, 127.0485641)",A389W359-Q0PX-0ZC0-N4GO-4K101A4R0KIB,2017-05-18,2019-01-21,2019-03-16,2019-12-19,Null,Null,Null,plnxvry8179@gmail.com,90~
1254875,권수,남,1962,1019,010-3621-2556,FALSE,FALSE,"(37.5047072, 127.0485641)",UH39UFWU-O8RW-4LCP-CTUE-FH2U4BU4MZOQ,2019-05-12,2020-02-23,Null,Null,Null,Null,Null,mbpuvjm3616@gmail.com,80~89
41201491,홍지신,남,1983,819,010-0658-9886,FALSE,FALSE,"(37.5047072, 127.0485641)",1TU10KA8-F39F-6PAA-26KW-107SA0CU5KEQ,2018-06-25,2018-10-10,2019-04-18,2020-05-10,Null,Null,Null,dznikqx7674@gmail.com,30~39
40475933,신태희,여,1987,1213,010-9647-2327,FALSE,TRUE,"(37.5047072, 127.0485641)",JNJRWZLV-1TEB-1U12-FOQC-VOVOGK4CW496,2020-11-31,2019-11-22,2019-10-24,2020-04-11,Null,Null,Null,wqtefdf8404@gmail.com,20~29
22247409,홍철돌,남,1986,427,010-2011-6808,FALSE,TRUE,"(37.5047072, 127.0485641)",FKU84L9F-70HY-4PRH-L9LO-TAAAEIQTXC07,2020-01-25,2018-06-18,2020-11-22,2019-10-25,Null,Null,Null,eumiwlc2556@gmail.com,15~19
42518696,박혜연,남,1993,1213,010-5879-7316,FALSE,FALSE,"(37.5047072, 127.0485641)",AF1XJVTN-VS0W-P0FY-KMRG-WF39ZS59G91T,2018-10-20,2019-02-28,Null,Null,Null,Null,Null,fpgcinq4714@gmail.com,70~79
63139469,박정준,여,1964,227,010-4901-5682,TRUE,TRUE,"(37.5047072, 127.0485641)",BHWKTBVX-APD3-JVYG-QJHE-XUDHBBKI8P3F,2019-12-12,2019-03-10,Null,Null,Null,Null,Null,vdbdwxx9281@gmail.com,60~69
