,ID,이름,성별,birthYear,birthDate,연락처,user,알림,위도,경도,UID,가입일,업데이트일,회원 탈퇴일,최근 접속일,닉네임,프로필 사진,프로필 썸네일 사진,이메일,연령대
0,20072146,신갑빈,여,1979,0816,010-4374-9607,False,True,37.5047072,127.0485641,WR503KZJ-WE54-88QE-P7JB-94CUTN0KC1N7,2020+7+20,2019+12+27,Null,Null,Null,Null,Null,lbmpjos2453@gmail.com,90~
1,64620186,박철호,남,1973,0707,010-3350-9669,False,True,37.5047072,127.0485641,GA0VJP5U-42ZQ-XGNN-14SI-EIFUY7RM7TCV,2018+6+4,2020+9+21,Null,Null,Null,Null,Null,himavck0577@gmail.com,15~19
2,45858517,오수돌,남,1961,0426,010-6429-3315,True,True,37.5047072,127.0485641,U3KTPYCN-9A0Q-B078-TVF3-WV9TD68NOW3K,2020+12+30,2018+2+19,2020+12+26,2019+1+19,Null,Null,Null,lgvmslp6253@gmail.com,15~19
3,98404206,박지수,남,1977,0816,010-9470-5482,True,True,37.5047072,127.0485641,OQQ9DWRG-JJ8V-ENCW-WZ3N-0R9VK3XVBW54,2018+8+11,2019+6+20,Null,Null,Null,Null,Null,miqqoxr2583@gmail.com,20~29
4,25590429,이도희,남,1967,0106,010-8299-5535,True,False,37.5047072,127.0485641,Z6JDZUNH-Y0L0-47XD-HIL9-70NMGHK6CU6T,2020+5+24,2019+1+17,2019+1+24,2020+1+28,Null,Null,Null,wgwrdys9165@gmail.com,80~89
5,92318990,유철준,여,1988,1222,010-7295-2852,True,False,37.5047072,127.0485641,DDN87IFS-849Z-E9H6-P9MI-UTVJHHL3SKNN,2019+8+22,2020+6+15,Null,Null,Null,Null,Null,hqfrplg2627@gmail.com,20~29
6,89012277,기정수,남,1992,1005,010-3952-1023,True,True,37.5047072,127.0485641,GJISIVJ3-5V4Q-5PMN-6OR6-VYK42UUQTSGD,2018+3+11,2020+9+26,Null,Null,Null,Null,Null,pbrmrji6106@gmail.com,70~79
7,16968928,오태연,남,1988,0625,010-9953-2480,True,True,37.5047072,127.0485641,D7KIMC12-E0Z1-ADN7-7TD2-PQVGF91OEEW4,2020+7+9,2020+12+17,2019+10+10,2020+2+30,Null,Null,Null,zxhdqpm6122@gmail.com,1~9
8,31756994,이수수,남,1980,0508,010-1449-9145,True,True,37.5047072,127.0485641,1NV0B2D0-QYC4-K3DU-3V39-LESS9WEPKAPQ,2018+3+22,2019+7+3,2019+12+16,2020+11+27,Null,Null,Null,cmqvgjj5033@gmail.com,30~39
9,465593,이수빈,남,1982,0307,010-2434-9822,False,False,37.5047072,127.0485641,A10N10MY-C16N-WQXO-3ZNI-R65H655DGPGW,2018+11+3,2020+8+18,2020+5+6,2020+5+23,Null,Null,Null,bpsudai9855@gmail.com,40~49
10,27454806,이연,여,1952,0520,010-6687-0993,False,False,37.5047072,127.0485641,E5XQ8V9G-HVZT-ODD6-70CW-EFYKXZOP7MOW,2019+4+17,2020+7+10,2019+5+7,2020+1+20,Null,Null,Null,klcqurl4834@gmail.com,40~49
11,80643192,류태돌,여,1980,1103,010-5194-5623,True,False,37.5047072,127.0485641,GGDMKQSC-NUUV-MURA-81MX-TFORT1T3ARKN,2017+12+5,2018+8+23,2019+5+6,2019+6+16,Null,Null,Null,klzliyh3285@gmail.com,30~39
12,25700049,최정호,남,1954,0818,010-5040-0798,True,True,37.5047072,127.0485641,QLV7D0OT-286K-73AQ-P0V3-Z806CY4OJSDV,2019+8+17,2018+2+2,2019+2+4,2019+12+3,Null,Null,Null,jycrtlr2598@gmail.com,50~59
13,92712691,마혜제,여,1974,1015,010-3234-4571,False,True,37.5047072,127.0485641,PW2CRKOB-V8MH-VPZB-QO24-TLVBDTXEHCVL,2020+6+1,2020+5+10,Null,Null,Null,Null,Null,guhordq2431@gmail.com,40~49
14,1457050,김수,여,1962,0831,010-2992-5085,False,False,37.5047072,127.0485641,93GU30GA-NDDY-8WR3-LO1D-S27ZBEWQZTNX,2018+3+10,2020+3+11,2019+10+2,2019+2+5,Null,Null,Null,iccvqsr3957@gmail.com,20~29
15,76674413,신병연,남,1995,1224,010-2001-3849,True,False,37.5047072,127.0485641,E365QG2A-4K33-Q0DC-TSOL-CWK20ZGMK3YI,2018+12+27,2018+5+5,Null,Null,Null,Null,Null,ncbebpp0287@gmail.com,1~9
16,66045735,이병돌,남,1992,0222,010-6027-1575,False,False,37.5047072,127.0485641,BUYN68I8-GBCI-5QGY-MBEV-33GDB6EHVG97,2019+9+20,2018+1+5,2019+2+30,2020+4+13,Null,Null,Null,hdcjfkw4522@gmail.com,10~14
17,67089287,김병신,여,1993,0512,010-9681-6761,True,False,37.5047072,127.0485641,F0J4R1MJ-ILFI-HJVA-QE0B-K44BEYWRRKTJ,2019+4+28,2019+5+15,Null,Null,Null,Null,Null,djrxlbm3363@gmail.com,1~9
18,21775839,신돌,여,1966,0213,010-1796-1443,False,True,37.5047072,127.0485641,XQLDWO39-HOAA-O3PW-4DUV-Y3DSD1M5ZHVL,2017+12+1,2019+2+24,2020+7+18,2020+3+15,Null,Null,Null,lzfgspq4745@gmail.com,20~29
19,64038681,권지신,여,1978,0221,010-6344-1695,False,True,37.5047072,127.0485641,N8CMJ46F-CGDR-D2YF-BQWJ-SGT4J1NX8V5I,2019+3+14,2020+12+29,Null,Null,Null,Null,Null,mdaekcx2192@gmail.com,90~
20,29463381,박상희,남,1989,0829,010-3791-4944,False,False,37.5047072,127.0485641,WAV4CGIO-VUEG-U3T4-JR21-OY45L60C1U01,2020+11+24,2019+10+22,2020+11+14,2020+7+18,Null,Null,Null,vxlagcs1297@gmail.com,80~89
21,8380789,홍호,남,1978,0817,010-5307-9190,True,False,37.5047072,127.0485641,WNIZUDFH-FN71-CE9I-9RUB-13TA572VWZ61,2018+10+21,2018+5+24,Null,Null,Null,Null,Null,fzeycar3891@gmail.com,1~9
22,48563880,신혜돌,남,1951,0107,010-3302-7384,False,False,37.5047072,127.0485641,OZG3MIPI-L4Y7-O4N7-QXGB-KYQIZ5S0DJFC,2020+10+9,2018+7+6,Null,Null,Null,Null,Null,jhrfapz2926@gmail.com,40~49
23,42772465,오상희,여,1967,0506,010-9163-1625,True,False,37.5047072,127.0485641,XTJF1MGU-NVZC-EDEH-0SFM-X77PB4TJTZYK,2019+11+13,2018+1+14,Null,Null,Null,Null,Null,nqljfhg3577@gmail.com,30~39
24,5513410,류혜철,여,1952,0514,010-5033-8189,True,False,37.5047072,127.0485641,NJPRECR3-383T-DYZ5-OZ0A-TEGOOT09HL6R,2018+12+14,2020+6+21,Null,Null,Null,Null,Null,wgndold5137@gmail.com,15~19
25,52735485,이수제,여,1954,0722,010-0392-1248,True,False,37.5047072,127.0485641,SI2LLYDW-29FF-GBYR-EJAU-PASC3PNZAR7G,2019+1+29,2019+10+27,Null,Null,Null,Null,Null,tiaowrl7178@gmail.com,80~89
26,38932357,오상준,남,1997,0405,010-9535-6784,True,False,37.5047072,127.0485641,170521VZ-90Q5-88D6-T5NC-CO34E9AUV8XV,2018+5+29,2020+3+13,Null,Null,Null,Null,Null,kbfpxym5352@gmail.com,50~59
27,61541424,송수지,남,1961,0204,010-5689-4311,True,False,37.5047072,127.0485641,87O8CAER-BQC2-PZJJ-3AHP-ORAZ145AITN5,2019+10+14,2020+7+14,2019+4+21,2019+7+23,Null,Null,Null,hyhqcpu8541@gmail.com,1~9
28,58306650,유상준,남,1986,0816,010-9799-4940,False,False,37.5047072,127.0485641,WKL4NAPA-7E1X-W7AB-GU1M-GEG1E9QYS3BR,2019+9+4,2019+4+24,2020+3+26,2019+12+27,Null,Null,Null,uolhbcd1099@gmail.com,90~
29,51920271,유수준,여,1969,0804,010-8947-9235,True,True,37.5047072,127.0485641,WT92LHU6-JM0I-GO3S-OV83-2THKXKSYBL2X,2018+10+6,2019+11+16,Null,Null,Null,Null,Null,kjxeucv0584@gmail.com,80~89
30,91255161,유지수,여,1967,1015,010-4740-5973,False,False,37.5047072,127.0485641,4MC7K3GW-3X79-FW49-2BP6-2L3NZBUY9FRZ,2018+6+29,2018+12+4,2019+7+29,2019+1+24,Null,Null,Null,fyloszi1721@gmail.com,20~29
31,27984104,기돌,남,1974,0427,010-6226-0822,False,False,37.5047072,127.0485641,VWAYEEA9-07ER-2TEG-THI0-D700ADRU2VTA,2020+10+8,2018+3+25,2019+10+27,2019+7+19,Null,Null,Null,oyvafdl0209@gmail.com,1~9
32,91251017,이병철,남,1952,0224,010-5273-7058,False,False,37.5047072,127.0485641,JKYFKT2X-LRO6-P860-3CD0-5E6V9RSJJBTP,2018+12+12,2019+12+30,Null,Null,Null,Null,Null,bvashgi4584@gmail.com,70~79
33,37299926,이정신,남,1996,0121,010-0082-4568,False,False,37.5047072,127.0485641,OZ7KTHKG-EEFC-Q4TO-QUDC-P97FUBZ6JX6L,2019+10+9,2019+2+21,2020+1+9,2020+4+9,Null,Null,Null,safvdsk2926@gmail.com,10~14
34,28530724,유혜돌,남,1956,1012,010-4456-8241,False,True,37.5047072,127.0485641,YQ0KZKAC-LQ8V-IUBU-8KXJ-3V9AK7MD5X7K,2019+5+12,2019+10+13,2020+9+18,2019+10+27,Null,Null,Null,fqheqwq9743@gmail.com,10~14
35,7964552,이혜빈,여,1983,0817,010-6799-6197,True,True,37.5047072,127.0485641,VCFBLE8T-AO0X-MCIN-P91R-GUTUZW2DNDQW,2019+8+11,2018+4+7,Null,Null,Null,Null,Null,wgbprrj8055@gmail.com,10~14
36,82167210,이혜돌,남,1953,0227,010-1011-3055,False,False,37.5047072,127.0485641,84DQ54Y2-KPAR-IO6P-CVFQ-5HQOHNIJPN1B,2018+8+21,2018+6+12,2019+11+3,2020+12+1,Null,Null,Null,bzgqjjb9006@gmail.com,20~29
37,61153253,유도빈,여,1984,0725,010-5173-5961,False,False,37.5047072,127.0485641,ULKV8P1S-E34V-YME9-S7SZ-8VXYKYGVTS5G,2018+11+8,2018+12+9,Null,Null,Null,Null,Null,uyedxye6936@gmail.com,1~9
38,41738412,권갑연,여,1993,1125,010-2635-3620,True,True,37.5047072,127.0485641,2CQ128SD-8PN7-J6T6-6NBP-WZ0H8AAYFP8V,2020+8+4,2018+9+29,2020+3+10,2020+8+1,Null,Null,Null,culvxbh3864@gmail.com,60~69
39,34944721,오도신,여,1995,0903,010-1609-6549,False,True,37.5047072,127.0485641,C0VE5GC4-QGGR-JBT9-Q7VJ-O5ZW829C2D74,2018+8+1,2020+7+21,2020+5+5,2020+1+26,Null,Null,Null,pihypbf1390@gmail.com,10~14
40,48831037,마갑연,남,1973,1105,010-5385-6206,True,True,37.5047072,127.0485641,G5PDVOQC-XCG0-GRF8-NCLI-N5BQVBOT591P,2020+2+3,2019+1+8,Null,Null,Null,Null,Null,zhakwbo1739@gmail.com,60~69
